med_name,med_code,image_url,price,dosage_form,active_ingredient,unit,stock_quantity,is_active
Vitamin E Zincacool,MED-00253,https://trungtamthuoc.com/images/products/130x130/vitamin-e-zincacool-1-m5738.jpg,251248,Viên,Vitamin E (Alpha Tocopherol),hộp,184,true
Evamine Natural,MED-00254,https://trungtamthuoc.com/images/products/130x130/evamine-natural-1-f2205.jpg,145806,Viên nang mềm,Vitamin E (Alpha Tocopherol),hộp,54,true
Bidotalic (Tuýp 15g),MED-00255,https://trungtamthuoc.com/images/products/130x130/bidotalic-15g-f2743.jpg,147900,Thuốc mỡ bôi da,"Acid Salicylic (BHA), Betamethason",hộp,47,true
Jesica Cam Collagen Trái Cây,MED-00256,https://trungtamthuoc.com/images/products/130x130/jesica-cam-collagen-trai-cay-2-r6472.jpg,207044,Bột,"Collagen, Vitamin C (Acid Ascorbic)",hộp,112,true
Collagen Ben 6000+,MED-00257,https://trungtamthuoc.com/images/products/130x130/collagen-ben-6000-1-t8300.jpg,233044,Dung dịch,"Collagen, Vitamin B1 (Thiamine), Vitamin B6 (Pyridoxine hydrochloride), Acid hyaluronic",hộp,173,true
Collagen Beauty Power,MED-00258,https://trungtamthuoc.com/images/products/130x130/collagen-beauty-power-1-t8721.jpg,299771,Dung dịch uống,"Collagen, Glutathione, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Zinc Gluconate (Kẽm Gluconat), Acid hyaluronic",hộp,88,true
"Quanderma-B Ointment 0,064%",MED-00259,https://trungtamthuoc.com/images/products/130x130/thuoc-quanderma-b-ointment-0064-b0726.jpg,163384,Thuốc mỡ bôi da,Betamethason,hộp,66,true
Xepafuzo ointment 2% w/w,MED-00260,https://trungtamthuoc.com/images/products/130x130/thuoc-xepafuzo-ointment-2-w-w-d1604.jpg,216894,Thuốc mỡ bôi da,Natri Fusidat (Sodium Fusidate),hộp,142,true
E-Land,MED-00261,https://trungtamthuoc.com/images/products/130x130/e-land-2-l4678.jpg,136684,Viên nang cứng và viên nang mềm,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Selen",hộp,65,true
Xynapsa - Collagen Gold,MED-00262,https://trungtamthuoc.com/images/products/130x130/xynapsa-collagen-gold-1-o5480.jpg,249064,Dung dịch uống,"Collagen, Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Acid hyaluronic",lọ,139,true
Queen E Đỏ Nosa,MED-00263,https://trungtamthuoc.com/images/products/130x130/queen-e-do-nosa-2-i3283.jpg,290506,Viên nang mềm,Vitamin E (Alpha Tocopherol),hộp,69,true
Allucot-N 15g,MED-00264,https://trungtamthuoc.com/images/products/130x130/allucot-n-15g-1-i3563.jpg,254947,Kem bôi da,"Fluocinolone, Neomycin",hộp,188,true
Primrose E400 Daphaco,MED-00265,https://trungtamthuoc.com/images/products/130x130/primrose-e400-daphaco-1-s7534.jpg,167411,Viên,"Acid Alpha Lipoic (ALA; Acid Thioctic), Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,78,true
Rich Light Collagen,MED-00266,https://trungtamthuoc.com/images/products/130x130/rich-light-collagen-1-n5085.jpg,285307,Bột,"Collagen, Natri Hyaluronate, Vitamin C (Acid Ascorbic)",hộp,84,true
Kem nghệ Leyna Thorakao,MED-00267,https://trungtamthuoc.com/images/products/130x130/kem-nghe-leyna-thorakao-1-i3066.jpg,129325,Kem bôi ngoài da,"Vitamin E (Alpha Tocopherol), Arbutin",hộp,22,true
Rhino Collagen,MED-00268,https://trungtamthuoc.com/images/products/130x130/rhino-collagen-1-r7101.jpg,276178,Viên,"Acid Alpha Lipoic (ALA; Acid Thioctic), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Curcumin, Glutathione, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Astaxanthin, Selen, Acid hyaluronic",hộp,185,true
Vn Pharma Collagen Plus,MED-00269,https://trungtamthuoc.com/images/products/130x130/vn-pharma-collagen-plus-1-n5556.jpg,186958,Viên nang mềm,"Collagen, Vitamin C (Acid Ascorbic)",hộp,19,true
BH Beautiful Habit Collagen Rich,MED-00270,https://trungtamthuoc.com/images/products/130x130/bh-beautiful-habit-collagen-rich-1-h3822.jpg,188548,Dung dịch uống,"Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Acid hyaluronic",hộp,147,true
Mebuvate 0.05%,MED-00271,https://trungtamthuoc.com/images/products/130x130/mebuvate-005-1-r7324.jpg,228936,Kem bôi ngoài da,Clobetasol Propionat,hộp,158,true
"Tacrolimus 0,03% Abipha",MED-00272,https://trungtamthuoc.com/images/products/130x130/tacrolimus-003-abipha-1-b0620.jpg,273274,Thuốc mỡ bôi ngoài da,Tacrolimus,tuýp,57,true
Vistra Collagen Peptide 4000 Orange Flavour Instant Powder Drink,MED-00273,https://trungtamthuoc.com/images/products/130x130/vistra-collagen-peptide-4000-orange-flavour-instant-powder-drink-1-a0171.jpg,136973,Bột pha uống,"Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Calcium Pantothenate (Calcium D - Pantothenate)",hộp,131,true
Royal Superwhite,MED-00274,https://trungtamthuoc.com/images/products/130x130/royal-superwhite-1-v8006.jpg,277605,Dung dịch uống,"Collagen, Nano Curcumin, Astaxanthin",hộp,94,true
Collagen Lựu Đỏ Curcumin,MED-00275,https://trungtamthuoc.com/images/products/130x130/collagen-luu-do-curcumin-1-v8281.jpg,265052,Dung dịch uống,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Glutathione, Kẽm, Nano Curcumin, Vitamin B1 (Thiamine), Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,68,true
Viên uống Glutathione Hera Diamond,MED-00276,https://trungtamthuoc.com/images/products/130x130/vien-uong-glutathione-hera-diamond-1-t8488.jpg,208665,Viên nén bao phim,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Glutathione, Nano Curcumin, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Selen",hộp,128,true
Sillaskin L-Cystine,MED-00277,https://trungtamthuoc.com/images/products/130x130/sillaskin-l-cystine-1-k4564.jpg,127621,Viên,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Vitamin C (Acid Ascorbic), Zinc Gluconate (Kẽm Gluconat), L-Cystine",hộp,127,true
NZ-Beauty,MED-00278,https://trungtamthuoc.com/images/products/130x130/nz-beauty-1-r7665.jpg,227826,Viên nang cứng,"L-Glutathione, Vitamin C (Acid Ascorbic), Acid hyaluronic, Nicotinamide mononucleotide (NMN)",hộp,14,true
"HB Collagen Type 1,2 & 3",MED-00279,https://trungtamthuoc.com/images/products/130x130/hb-collagen-type-12-3-1-o6744.jpg,217906,Viên nén,"Collagen, Vitamin C (Acid Ascorbic)",hộp,103,true
"Winmus 0,1%",MED-00280,https://trungtamthuoc.com/images/products/130x130/winmus-01-1-d1287.jpg,139807,Thuốc mỡ bôi da,,hộp,20,true
Diamond Nano Collagen,MED-00281,https://trungtamthuoc.com/images/products/130x130/diamond-nano-collagen-1-f2374.jpg,176150,Viên nang mềm,"Acid Alpha Lipoic (ALA; Acid Thioctic), Collagen, Glutathione, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,150,true
"Apimonta 0,1% Lotion",MED-00282,https://trungtamthuoc.com/images/products/130x130/apimonta-0-1-lotion-21-n5185.jpg,112144,Lotion,Mometasone,hộp,23,true
Pure Collagen,MED-00283,https://trungtamthuoc.com/images/products/130x130/pure-collagen-1-n5358.jpg,105129,Bột,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Vitamin E (Alpha Tocopherol), L-Cystine, Acid hyaluronic",hộp,90,true
Elisone Cream 1mg/g,MED-00284,https://trungtamthuoc.com/images/products/130x130/elisone-cream-1mg-g-7-h2708.jpg,149783,Thuốc kem,Mometasone,hộp,42,true
Collagen X7,MED-00285,https://trungtamthuoc.com/images/products/130x130/collagen-x7-1-a0040.jpg,135190,Viên,"Collagen, L-Glutathione, Vitamin C (Acid Ascorbic)",hộp,155,true
Collagen Thiên An,MED-00286,https://trungtamthuoc.com/images/products/130x130/collagen-thien-an-1-b0360.jpg,117672,Viên nang cứng,"Coenzym Q10 (Ubidecarenone), Collagen, Glutathione, Isoflavone, Retinol (Vitamin A), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine, Acid hyaluronic",hộp,109,true
Aishitoto Collagen Jelly,MED-00287,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-1-h3456.jpg,247953,Thạch,"Collagen, Acid Pantothenic (Vitamin B5)",hộp,98,true
Bora Premium,MED-00288,https://trungtamthuoc.com/images/products/130x130/bora-premium-1-h3410.jpg,177859,Viên,"Collagen, Glutathione, Vitamin E (Alpha Tocopherol), Astaxanthin",hộp,148,true
Aishitoto Collagen Jelly Premium,MED-00289,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-premium-1-c0811.jpg,267341,Thạch,Collagen,hộp,189,true
Collagen Hapati,MED-00290,https://trungtamthuoc.com/images/products/130x130/collagen-hapati-1-l4251.jpg,187902,Bột,Collagen,hộp,192,true
Silverdin Cream 1%,MED-00291,https://trungtamthuoc.com/images/products/130x130/thuoc-silverdin-cream-1-k4318.jpg,149773,Kem bôi ngoài da,Bạc Sulfadiazin,hộp,58,true
Clobestal 0.05%,MED-00292,https://trungtamthuoc.com/images/products/130x130/clobestal-005-1-p6377.jpg,297284,Kem bôi ngoài da,Clobetasol Propionat,hộp,84,true
Collagen Beauty Care,MED-00293,https://trungtamthuoc.com/images/products/130x130/collagen-beauty-care-1-u8338.jpg,203266,Bột,"Acid Folic (Vitamin B9), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B1 (Thiamine), Vitamin B2 (Riboflavin), Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Kẽm Oxyd (Zinc Oxide), Crom (Chromium)",hộp,183,true
NMN Tripeptide NSG,MED-00294,https://trungtamthuoc.com/images/products/130x130/nmn-tripeptide-nsg-1-o5156.jpg,203133,Bột,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Zinc Gluconate (Kẽm Gluconat), Selen, Resveratrol, Nicotinamide mononucleotide (NMN)",hộp,15,true
Aishitoto Collagen Jelly Muscat,MED-00295,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-muscat-1-v8581.jpg,285934,Thạch,"Collagen, Acid Pantothenic (Vitamin B5)",hộp,19,true
Aishitoto Collagen Jelly Iron,MED-00296,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-iron-1-q6208.jpg,121136,Thạch,"Collagen, Sắt, Acid Pantothenic (Vitamin B5)",hộp,47,true
Aishitoto Collagen Jelly Cramide,MED-00297,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-cramide-1-o6758.jpg,276038,Thạch,"Collagen, Ceramide",hộp,71,true
Becagel 15ml,MED-00298,https://trungtamthuoc.com/images/products/130x130/becagel-15ml-1-q6352.jpg,194200,Gel,"Betamethason, Calcipotriol",hộp,110,true
Flonaspray 50µg,MED-00299,https://trungtamthuoc.com/images/products/130x130/flonaspray-50g-1-d1764.jpg,291734,Thuốc xịt mũi,Fluticason Propionat,hộp,180,true
Hyaluron & Collagen +Q10,MED-00300,https://trungtamthuoc.com/images/products/130x130/hyaluron-collagen-q10-1-v8060.jpg,126732,Bột,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Coenzym Q10 (Ubidecarenone), Collagen, Vitamin C (Acid Ascorbic), Elastin, Acid hyaluronic",hộp,195,true
Teensfucort,MED-00301,https://trungtamthuoc.com/images/products/130x130/thuoc-teensfucort-p6420.jpg,188454,Kem bôi da,"Acid Fusidic, Hydrocortisone",hộp,66,true
Aishitoto Collagen Jelly Ceramide Mango,MED-00302,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-ceramide-mango-1-g2218.jpg,179012,Thạch,"Collagen, Ceramide",hộp,12,true
Welson Beauty Hyaluron Vita Boost,MED-00303,https://trungtamthuoc.com/images/products/130x130/welson-beauty-hyaluron-vita-boost-1-g2616.jpg,298612,Viên nang mềm,"L-Glutathione, Retinol (Vitamin A), Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,115,true
Aishitoto Collagen Jelly Bayberry,MED-00304,https://trungtamthuoc.com/images/products/130x130/aishitoto-collagen-jelly-bayberry-1-v8505.jpg,196701,Thạch,Collagen,hộp,191,true
Nước uống HD Collagen Drink,MED-00305,https://trungtamthuoc.com/images/products/130x130/hd-collagen-drink-1-l4064.jpg,134146,Dung dịch uống,"Collagen, Nicotinamide mononucleotide (NMN)",hộp,196,true
Collagen Beauty’S18,MED-00306,https://trungtamthuoc.com/images/products/130x130/collagen-beauty-s18-1-q6275.jpg,178726,Cốm,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Isoflavone, L-Glutathione, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin E (Alpha Tocopherol), L-Cystine, Acid hyaluronic",hộp,115,true
Collagen Foxy Beauty,MED-00307,https://trungtamthuoc.com/images/products/130x130/collagen-foxy-beauty-1-k4855.jpg,240840,Cốm,"Collagen, Glutathione, Nano Curcumin, Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,87,true
Avonlimus 0.03%,MED-00308,https://trungtamthuoc.com/images/products/130x130/avonlimus-003-1-s7053.jpg,202316,Thuốc mỡ bôi da,Tacrolimus,hộp,160,true
Collagen Yazuya,MED-00309,https://trungtamthuoc.com/images/products/130x130/collagen-yazuya-1-h3566.jpg,113876,Thạch,"Collagen, Polyphenol",hộp,124,true
Hydro-Lyzed Collagen With Vitamin C,MED-00310,https://trungtamthuoc.com/images/products/130x130/hydrolyzed-collagen-with-vitamin-c-1-s7660.jpg,208990,Viên nén,"Vitamin C (Acid Ascorbic), L-Ornithine, Collagen Hydrolyzed",hộp,163,true
Viên Uống Ori Beauty Diamond,MED-00311,https://trungtamthuoc.com/images/products/130x130/vien-uong-ori-beauty-diamond-1-u8003.jpg,153216,Viên,"Collagen, L-Glutathione, Acid Pantothenic (Vitamin B5), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Kẽm Oxyd (Zinc Oxide), L-Cystine, Astaxanthin, Acid hyaluronic",hộp,13,true
MyVita Nice,MED-00312,https://trungtamthuoc.com/images/products/130x130/myvita-nice-1-s7683.jpg,240850,Bột,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Kẽm, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Vitamin D3 (Cholecalciferol, Calcitriol), Vitamin E (Alpha Tocopherol), Elastin, Magie, Selen, Acid hyaluronic",hộp,112,true
Shinsam Venus,MED-00313,https://trungtamthuoc.com/images/products/130x130/shinsam-venus-1-v8748.jpg,245651,Viên nén bao phim,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, L-Glutathione, Acid hyaluronic",hộp,76,true
DR. Collagen EX,MED-00314,https://trungtamthuoc.com/images/products/130x130/dr-collagen-ex-1-n5805.jpg,243960,Thạch,"Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin E (Alpha Tocopherol), Elastin, Proteoglycans",hộp,99,true
Hoàn Liễu An,MED-00315,https://trungtamthuoc.com/images/products/130x130/hoan-lieu-an-1-t8202.jpg,109387,Viên nén sủi,"Acid Alpha Lipoic (ALA; Acid Thioctic), Collagen, Glutathione, Vitamin E (Alpha Tocopherol), Selen",tuýp,86,true
Spevigo 450mg,MED-00316,https://trungtamthuoc.com/images/products/130x130/spevigo-1-f2264.jpg,297217,Dung dịch đậm đặc để pha tiêm truyền tĩnh mạch,"Citric Acid, Đường tinh luyện (Saccharose, Sucrose)",hộp,10,true
"Desloratadine Danapha 0,5mg/ml",MED-00317,https://trungtamthuoc.com/images/products/130x130/thuoc-desloratadine-danapha-0-5mg-ml-1-a0871.jpg,210095,Siro,Desloratadine,hộp,177,true
Kawa White,MED-00318,https://trungtamthuoc.com/images/products/130x130/kawa-white-1-i3733.jpg,223734,Viên,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Coenzym Q10 (Ubidecarenone), Collagen, Glutathione, Isoflavone, Kẽm, Acid Pantothenic (Vitamin B5), Vitamin E (Alpha Tocopherol), L-Cystine",hộp,82,true
"Tacrolim 0,1%",MED-00319,https://trungtamthuoc.com/images/products/130x130/thuoc-tacrolim-01-q6588.jpg,173897,Thuốc mỡ,Tacrolimus,hộp,160,true
Tonagas 4%,MED-00320,https://trungtamthuoc.com/images/products/130x130/tonagas-4-6-f2578.jpg,298472,Kem bôi da,Hydroquinone (Quinone),hộp,14,true
Bifudin,MED-00321,https://trungtamthuoc.com/images/products/130x130/thuoc-bifudin-2-j4865.jpg,257067,Kem,Acid Fusidic,hộp,168,true
Sakura Legend Premium,MED-00322,https://trungtamthuoc.com/images/products/130x130/sakura-legend-premium-1-u8711.jpg,212269,Viên,,hộp,193,true
Nano Collagen Jelly Sevenberry,MED-00323,https://trungtamthuoc.com/images/products/130x130/nano-collagen-jelly-sevenberry-1-s7332.jpg,103497,Thạch,"Collagen, Vitamin C (Acid Ascorbic)",hộp,36,true
Meiji Amino Collagen Premium,MED-00324,https://trungtamthuoc.com/images/products/130x130/meiji-amino-collagen-premium-1-p6162.jpg,269644,Bột,"Arginine, Coenzym Q10 (Ubidecarenone), Collagen, Glucosamine, Vitamin C (Acid Ascorbic), Ceramide, Acid hyaluronic",hộp,200,true
Lopa Lady,MED-00325,https://trungtamthuoc.com/images/products/130x130/lopa-lady-1-g2306.jpg,212176,Viên nang mềm,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Isoflavone, Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Acid hyaluronic",hộp,199,true
VinVin Skin V3 Effervescent Tablet,MED-00326,https://trungtamthuoc.com/images/products/130x130/vinvin-skin-v3-effervescent-tablet-1-h2316.jpg,232089,Viên sủi,"Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Retinol (Vitamin A), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,14,true
Cosme White,MED-00327,https://trungtamthuoc.com/images/products/130x130/cosme-white-1-i3312.jpg,186762,Viên nang,"Collagen, Isoflavone, L-Glutathione, Vitamin E (Alpha Tocopherol), Pregnenolone",hộp,182,true
Healthy And Beauty Collagen,MED-00328,https://trungtamthuoc.com/images/products/130x130/healthy-and-beauty-collagen-1-p6680.jpg,272393,Dung dịch uống,"Citrulline , Coenzym Q10 (Ubidecarenone), Collagen, Glucosamine, Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), Fructose, Citric Acid, Acid hyaluronic",hộp,89,true
Tremfya 100mg/ml,MED-00329,https://trungtamthuoc.com/images/products/130x130/thuoc-tremfya-100mg-ml-1-v8601.jpg,297852,Dung dịch tiêm,Guselkumab,hộp,136,true
Diệp Sắc An,MED-00330,https://trungtamthuoc.com/images/products/130x130/diep-sac-an-1-v8270.jpg,124485,Dung dịch,"Collagen, Glutathione, Vitamin C (Acid Ascorbic), Acid hyaluronic",hộp,51,true
Np Zeropollution,MED-00331,https://trungtamthuoc.com/images/products/130x130/np-zeropollution-1-c1000.jpg,153161,Viên nang,"Collagen, Glutathione, Nano Curcumin, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), Chlorophyll, Acid hyaluronic",hộp,167,true
Juna Tảo Collagen,MED-00332,https://trungtamthuoc.com/images/products/130x130/juna-tao-collagen-1-p6502.jpg,262072,Bột,"Collagen, Kẽm, Omega 3 (Acid Eicosapentaenoic), Vitamin C (Acid Ascorbic), Beta-carotene, Calci (Canxi), Protein, Chlorophyll",hộp,43,true
White Cala,MED-00333,https://trungtamthuoc.com/images/products/130x130/white-cala-2-d1882.jpg,199939,Viên nang mềm,"L-Glutathione, Cysteine, Lecithin, Astaxanthin",hộp,21,true
Sonacozen,MED-00334,https://trungtamthuoc.com/images/products/130x130/sonacozen-1-h2107.jpg,154813,Viên nang cứng,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine, Astaxanthin",hộp,122,true
UV Algae Protection,MED-00335,https://trungtamthuoc.com/images/products/130x130/uv-algae-protection-1-a0400.jpg,221852,Viên nang cứng,"Collagen, Nano Curcumin, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Lycopene",hộp,181,true
Viên uống sáng da Sakura Glutathion Sâm Tố Nữ,MED-00336,https://trungtamthuoc.com/images/products/130x130/vien-uong-sang-da-sakura-glutathion-sam-to-nu-1-q6581.jpg,263972,Viên nang cứng,"Collagen, Glutathione, Isoflavone, L-Cystine",hộp,147,true
DSK Shine viên uống sáng da,MED-00337,https://trungtamthuoc.com/images/products/130x130/dsk-shine-vien-uong-sang-da-1-q6537.jpg,263797,Viên sủi,"Acid Alpha Lipoic (ALA; Acid Thioctic), Collagen, Glutathione, Vitamin C (Acid Ascorbic), Selen, Acid hyaluronic",hộp,176,true
Fusone 20mg/g,MED-00338,https://trungtamthuoc.com/images/products/130x130/thuoc-fusone-20-mg-g-1-k4510.jpg,155481,Kem bôi da,Acid Fusidic,hộp,136,true
Neigene Collagen Plus,MED-00339,https://trungtamthuoc.com/images/products/130x130/neigene-collagen-plus-2-u8488.jpg,211405,Bột pha uống,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Zinc Gluconate (Kẽm Gluconat), Astaxanthin",hộp,31,true
"Betaprosone Cream 0,05%",MED-00340,https://trungtamthuoc.com/images/products/130x130/thuoc-betaprosone-cream-005-s7481.jpg,233730,Kem bôi da,Betamethason,hộp,186,true
Rejuvicare UV Screen,MED-00341,https://trungtamthuoc.com/images/products/130x130/rejuvicare-uv-screen-2-i3754.jpg,112471,Viên nang mềm,"Retinol (Vitamin A), Selenium sulfide, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Kẽm Oxyd (Zinc Oxide), Beta-carotene, Astaxanthin",hộp,39,true
Fucortmeyer Cream,MED-00342,https://trungtamthuoc.com/images/products/130x130/thuoc-fucortmeyer-cream-i3260.jpg,149068,Kem bôi da,"Acid Fusidic, Hydrocortisone",hộp,21,true
Skincare Korew,MED-00343,https://trungtamthuoc.com/images/products/130x130/skincare-korew-6-i3002.jpg,237560,Viên nén bao phim,"Acid Alpha Lipoic (ALA; Acid Thioctic), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine",hộp,23,true
Ino E,MED-00344,https://trungtamthuoc.com/images/products/130x130/ino-e-2-s7340.jpg,133417,Viên nang mềm,Vitamin E (Alpha Tocopherol),hộp,180,true
Collagen Comi,MED-00345,https://trungtamthuoc.com/images/products/130x130/collagen-comi-2-t8083.jpg,161616,Dung dịch,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, L-Glutathione, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), Acid hyaluronic",hộp,134,true
DSK UV,MED-00346,https://trungtamthuoc.com/images/products/130x130/dsk-uv-8-j3416.jpg,149180,,"L-Glutathione, Vitamin C (Acid Ascorbic)",hộp,155,true
Terbuxol 0.05%,MED-00347,https://trungtamthuoc.com/images/products/130x130/thuoc-terbuxol-005-1-a0618.jpg,154987,Thuốc mỡ bôi da,Betamethason,hộp,187,true
Salic Ointment,MED-00348,https://trungtamthuoc.com/images/products/130x130/thuoc-salic-ointment-1-d1880.jpg,271657,Thuốc mỡ,"Acid Salicylic (BHA), Betamethason",tuýp,44,true
Licsa 50%,MED-00349,https://trungtamthuoc.com/images/products/130x130/thuoc-licsa-50-1-o5488.jpg,243555,Thuốc mỡ bôi da,Acid Salicylic (BHA),hộp,16,true
Thuốc Mỡ Bôi Da Betamethason Dipropionat & Acid Salicylic,MED-00350,https://trungtamthuoc.com/images/products/130x130/thuoc-mo-boi-da-betamethason-dipropionat-acid-salicylic-1-k4761.jpg,102286,Thuốc mỡ bôi da,"Acid Salicylic (BHA), Betamethason",hộp,139,true
Viên uống sáng da Real Care,MED-00351,https://trungtamthuoc.com/images/products/130x130/sang-da-real-care-2-j3818.jpg,192869,Viên nang mềm,"Glutathione, Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin E (Alpha Tocopherol), L-Cystine, Astaxanthin, Acid hyaluronic",hộp,141,true
Fusin Collagen,MED-00352,https://trungtamthuoc.com/images/products/130x130/fusin-collagen-2-l4071.jpg,187585,Bột,"Collagen, Glucosamine, Natri Hyaluronate, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B6 (Pyridoxine hydrochloride), Vitamin E (Alpha Tocopherol)",hộp,99,true
Aloe Vera Traly,MED-00353,https://trungtamthuoc.com/images/products/130x130/aloe-vera-2-p6547.jpg,194671,Viên nang mềm,,hộp,20,true
Ureper 0.03%,MED-00354,https://trungtamthuoc.com/images/products/130x130/thuoc-ureper-003-1-d1357.jpg,260224,Thuốc mỡ,Tacrolimus,hộp,70,true
PQA Sáng Da Ngọc Tố Nữ,MED-00355,https://trungtamthuoc.com/images/products/130x130/pqa-sang-da-2-s7764.jpg,150041,Bột,,hộp,54,true
"Terbisil 1% Spray, Solution",MED-00356,https://trungtamthuoc.com/images/products/130x130/terbisil-1-spray-solution-1-f2882.jpg,198481,Dung dịch xịt ngoài da,Terbinafine,hộp,102,true
Cetrimide Wound Spray 5mg/ml,MED-00357,https://trungtamthuoc.com/images/products/130x130/cetrimide-wound-spray-5mg-ml-1-r7354.jpg,186232,Dung dịch,Cetrimid (Cetrimide),hộp,152,true
Trinolon ointment 0.1%,MED-00358,https://trungtamthuoc.com/images/products/130x130/trinolon-ointment-01-1-c1351.jpg,102890,Thuốc mỡ,Triamcinolone,hộp,90,true
TSC – Evening Primrose Oil,MED-00359,https://trungtamthuoc.com/images/products/130x130/tsc-evening-primrose-oil-2-v8423.jpg,172897,Viên nang mềm,Vitamin E (Alpha Tocopherol),hộp,42,true
Novear 5mg/ml,MED-00360,https://trungtamthuoc.com/images/products/130x130/thuoc-novear-5mg-ml-1-c0542.jpg,280149,Dung dịch nhỏ tai,,hộp,150,true
Seadoral 0.1%,MED-00361,https://trungtamthuoc.com/images/products/130x130/thuoc-seadoral-01-1-l4122.jpg,134939,Thuốc mỡ,,hộp,45,true
Cốm Sủi Đẹp Da Phoenix,MED-00362,https://trungtamthuoc.com/images/products/130x130/com-sui-dep-da-phoenix-1-t8845.jpg,200946,Cốm sủi,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, L-Cystine, Astaxanthin, Acid hyaluronic",hộp,176,true
